1420426830.786	get	5971	322	439	390	4820	443	51	132	71	0
1420426831.786	put	3992	2964	121	675	232	3085	112	132	71	0
1420426832.786	get	2174	267	44	858	1005	887	51	132	71	0
1420426833.786	put	2049	337	124	926	662	946	112	132	71	0
1420426834.786	get	1273	290	52	641	290	659	51	132	71	0
1420426835.785	put	1464	260	53	654	497	672	112	132	71	0
1420426836.786	get	1446	478	596	32	340	158	51	132	71	0
1420426837.785	put	1278	172	52	765	289	777	112	132	71	0
1420426838.785	get	1248	215	44	758	231	772	51	132	71	0
1420426839.785	put	1467	147	39	1062	219	1077	112	132	71	0
1420426840.786	get	1910	730	427	455	298	793	51	132	71	0
1420426841.785	put	1853	200	49	926	678	942	112	132	71	0
1420426842.786	get	1210	212	61	684	253	705	51	132	71	0
1420426843.785	put	1246	207	48	704	287	718	112	132	71	0
1420426844.785	get	1489	217	48	930	294	945	51	132	71	0
1420426845.787	put	1960	282	77	1247	354	1269	112	132	71	0
1420426846.785	get	1286	266	55	808	157	828	51	132	71	0
1420426847.785	put	1365	216	48	713	388	728	112	132	71	0
1420426848.786	get	1208	198	47	687	276	701	51	132	71	0
1420426849.785	put	1374	289	57	788	240	811	112	132	71	0
1420426850.786	get	1194	194	45	685	270	700	51	132	71	0
1420426851.785	put	1275	192	48	742	293	756	112	132	71	0
1420426852.785	get	1328	262	52	758	256	777	51	132	71	0
1420426853.786	put	1376	198	47	915	216	930	112	132	71	0
1420426854.785	get	1289	186	47	770	286	786	51	132	71	0
1420426855.785	put	1260	194	48	708	310	721	112	132	71	0
1420426856.785	get	4467	432	177	3278	580	3314	51	132	71	0
1420426857.785	put	1417	201	48	935	233	948	112	132	71	0
1420426858.786	get	1271	207	47	731	286	745	51	132	71	0
1420426859.786	put	1336	195	48	857	236	871	112	132	71	0
1420426860.786	get	1144	188	46	665	245	678	51	132	71	0
1420426861.785	put	1504	213	47	888	356	901	112	132	71	0
1420426862.785	get	1157	186	46	634	291	649	51	132	71	0
1420426863.785	put	1474	264	50	929	231	946	112	132	71	0
1420426864.786	get	1273	195	46	768	264	781	51	132	71	0
1420426865.785	put	1178	209	69	656	244	679	112	132	71	0
1420426866.785	get	1555	298	64	773	420	795	51	132	71	0
1420426867.785	put	1487	244	63	773	407	791	112	132	71	0
1420426868.785	get	1221	200	47	714	260	729	51	132	71	0
1420426869.785	put	1389	207	48	893	241	907	112	132	71	0
1420426870.785	get	1017	189	44	562	222	577	51	132	71	0
1420426871.786	put	1538	198	48	996	296	1010	112	132	71	0
1420426872.785	get	1347	179	45	743	380	757	51	132	71	0
1420426873.785	put	1239	252	47	686	254	705	112	132	71	0
1420426874.785	get	2711	342	96	1819	454	1829	51	132	71	0
1420426875.786	put	1385	218	65	785	317	805	112	132	71	0
1420426876.785	get	2028	253	55	1320	400	1329	51	132	71	0
1420426877.785	put	1513	253	48	961	251	1010	112	132	71	0
1420426878.785	get	1378	214	49	887	228	902	51	132	71	0
1420426879.785	put	1350	196	47	834	273	847	112	132	71	0
1420426880.785	get	1355	202	47	726	380	739	51	132	71	0
1420426881.785	put	1375	189	45	908	233	922	112	132	71	0
1420426882.785	get	1195	222	67	646	260	665	51	132	71	0
1420426883.785	put	1703	226	64	941	472	958	112	132	71	0
1420426884.785	get	1681	320	83	818	460	846	51	132	71	0
1420426885.785	put	1272	251	61	718	242	744	112	132	71	0
1420426886.786	get	1180	232	58	654	236	673	51	132	71	0
1420426887.785	put	1255	240	50	723	242	739	112	132	71	0
1420426888.785	get	1256	197	46	773	240	787	51	132	71	0
1420426889.785	put	1345	185	46	694	420	706	112	132	71	0
